2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.DOGEUSDT len=102
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=99
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.INJUSDT len=109
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=100
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=93
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.TONUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=98
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ORDIUSDT len=94
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=99
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SUIUSDT len=77
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ADAUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ADAUSDT len=103
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SUIUSDT len=76
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SUIUSDT len=78
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ARBUSDT len=101
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=98
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ADAUSDT len=100
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ARBUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.SUIUSDT len=79
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.BTCUSDT len=98
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.BTCUSDT len=98
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ADAUSDT len=100
